questionname,questiontext,A,B,C,D,Answer 1,Answer 2,answernumbering,correctfeedback,partiallycorrectfeedback,incorrectfeedback,defaultmark
1C 患者の権利,患者の自己決定権で正しいのはどれか。,我が国の法律では認められていない,自己の終末期医療を含む,医療保険適用の治療に限られる,生存権を根拠とする,B,,123,患者の自己決定権とは、患者自身が十分な説明を受けた上で、自らの意思で治療方針を決定する権利である。「我が国の法律では認められていない」は誤りで、我が国でも憲法第13条「個人の尊重」を根拠に認められている。「自己の終末期医療を含む」は正しく、自己決定権は終末期医療（延命治療の拒否や緩和ケアの選択など）に関する決定も含む。「医療保険適用の治療に限られる」は誤りで、医療保険の適用に限らず、すべての医療行為に対して行使できる。「生存権を根拠とする」は誤りで、根拠は生存権（憲法第25条）ではなく、個人の尊重（憲法第13条）である。,,患者の自己決定権とは、患者自身が十分な説明を受けた上で、自らの意思で治療方針を決定する権利である。「我が国の法律では認められていない」は誤りで、我が国でも憲法第13条「個人の尊重」を根拠に認められている。「自己の終末期医療を含む」は正しく、自己決定権は終末期医療（延命治療の拒否や緩和ケアの選択など）に関する決定も含む。「医療保険適用の治療に限られる」は誤りで、医療保険の適用に限らず、すべての医療行為に対して行使できる。「生存権を根拠とする」は誤りで、根拠は生存権（憲法第25条）ではなく、個人の尊重（憲法第13条）である。,1.0000000
1C 患者の権利,インフォームド・コンセントで誤っているのはどれか。,患者に対する医師等医療関係者の説明義務である。,柔道整復師は医師の指示により行わなければならない。,自己決定権を持つ患者に対し施術等について説明や情報を提供しなければならない。,日本では1997年医療法改正によって努力義務として規定された。,B,,123,インフォームド・コンセントとは、医療者が患者に十分な説明を行い、患者の理解と同意を得た上で医療行為を行うことである。「患者に対する医師等医療関係者の説明義務である。」は医師等医療関係者の説明義務であり正しい。「柔道整復師は医師の指示により行わなければならない。」はインフォームド・コンセントは医師の指示により行うものではなく、医療者が自発的に患者に対して行うべきものである。「自己決定権を持つ患者に対し施術等について説明や情報を提供しなければならない。」は自己決定権を持つ患者に対し説明・情報提供は必要であり正しい。「日本では1997年医療法改正によって努力義務として規定された。」は1997年医療法改正により努力義務として規定されたのは正しい。,,インフォームド・コンセントとは、医療者が患者に十分な説明を行い、患者の理解と同意を得た上で医療行為を行うことである。「患者に対する医師等医療関係者の説明義務である。」は医師等医療関係者の説明義務であり正しい。「柔道整復師は医師の指示により行わなければならない。」はインフォームド・コンセントは医師の指示により行うものではなく、医療者が自発的に患者に対して行うべきものである。「自己決定権を持つ患者に対し施術等について説明や情報を提供しなければならない。」は自己決定権を持つ患者に対し説明・情報提供は必要であり正しい。「日本では1997年医療法改正によって努力義務として規定された。」は1997年医療法改正により努力義務として規定されたのは正しい。,1.0000000
1C 患者の権利,個人情報で誤っているのはどれか。,診療録は個人情報である。,地方公共団体は個人情報取扱業者である。,柔道整復師の判断・評価は個人情報に含まれる。,患者の氏名は個人情報である。,B,,123,個人情報保護法において、個人情報とは生存する個人に関する情報で、特定の個人を識別できるものをいう。「診療録は個人情報である。」は診療録は個人情報であり正しい。「地方公共団体は個人情報取扱業者である。」は地方公共団体は個人情報取扱事業者ではなく、別途「個人情報保護法」の行政機関等の規定が適用される。「柔道整復師の判断・評価は個人情報に含まれる。」は柔道整復師の判断・評価も個人情報に含まれ正しい。「患者の氏名は個人情報である。」は患者の氏名は個人情報であり正しい。,,個人情報保護法において、個人情報とは生存する個人に関する情報で、特定の個人を識別できるものをいう。「診療録は個人情報である。」は診療録は個人情報であり正しい。「地方公共団体は個人情報取扱業者である。」は地方公共団体は個人情報取扱事業者ではなく、別途「個人情報保護法」の行政機関等の規定が適用される。「柔道整復師の判断・評価は個人情報に含まれる。」は柔道整復師の判断・評価も個人情報に含まれ正しい。「患者の氏名は個人情報である。」は患者の氏名は個人情報であり正しい。,1.0000000
1C 患者の権利,個人情報取扱事業者はどれか。,"5,000件を超える情報保持事業者",国の機関,地方公共団体,独立行政法人,A,,123,"個人情報取扱事業者とは、個人情報データベース等を事業の用に供している者をいう（2017年改正で5,000件要件は撤廃）。「国の機関」は誤りで、個人情報取扱事業者から除外される。「地方公共団体」は地方公共団体も除外される。「独立行政法人」は独立行政法人も除外される。これらは別途、行政機関個人情報保護法等の適用を受ける。したがって、個人情報取扱事業者に該当するのは民間事業者である。",,"個人情報取扱事業者とは、個人情報データベース等を事業の用に供している者をいう（2017年改正で5,000件要件は撤廃）。「国の機関」は誤りで、個人情報取扱事業者から除外される。「地方公共団体」は地方公共団体も除外される。「独立行政法人」は独立行政法人も除外される。これらは別途、行政機関個人情報保護法等の適用を受ける。したがって、個人情報取扱事業者に該当するのは民間事業者である。",1.0000000
1C 患者の権利,医療危機管理の概念でないのはどれか。,インフォームド・コンセント,リスク・マネジメント,インシデントレポート,ヒヤリハット,A,,123,医療危機管理（リスクマネジメント）の概念には、リスク・マネジメント、インシデントレポート、ヒヤリハットが含まれる。「インフォームド・コンセント」が正解で、インフォームド・コンセント（説明と同意）は患者の権利に関する概念であり、医療危機管理の概念には含まれない。「リスク・マネジメント」は医療危機管理の概念そのものであり該当しない。「インシデントレポート」は事故やヒヤリハットの報告で医療危機管理の手法の一つ。「ヒヤリハット」はインシデントの別名であり医療危機管理の概念に含まれる。,,医療危機管理（リスクマネジメント）の概念には、リスク・マネジメント、インシデントレポート、ヒヤリハットが含まれる。「インフォームド・コンセント」が正解で、インフォームド・コンセント（説明と同意）は患者の権利に関する概念であり、医療危機管理の概念には含まれない。「リスク・マネジメント」は医療危機管理の概念そのものであり該当しない。「インシデントレポート」は事故やヒヤリハットの報告で医療危機管理の手法の一つ。「ヒヤリハット」はインシデントの別名であり医療危機管理の概念に含まれる。,1.0000000
1C 患者の権利,医療従事者が医療の遂行において医療的準則に違反して患者に被害を発生させるのはどれか,インシデント,医療過誤,医療事故,インフォームド・コンセント,B,,123,「インシデント」は誤りで、患者に被害が及ばなかったが、及ぶ可能性があった事例（ヒヤリハット）のこと。「医療過誤」は正しく、医療従事者が医療的準則に違反して患者に被害を発生させることをいう。「医療事故」は誤りで、医療に関わる場所で医療の過程において発生する人身事故すべてを指す（過失の有無を問わない）。「インフォームド・コンセント」は誤りで、説明と同意のことで、医療過誤とは無関係。,,「インシデント」は誤りで、患者に被害が及ばなかったが、及ぶ可能性があった事例（ヒヤリハット）のこと。「医療過誤」は正しく、医療従事者が医療的準則に違反して患者に被害を発生させることをいう。「医療事故」は誤りで、医療に関わる場所で医療の過程において発生する人身事故すべてを指す（過失の有無を問わない）。「インフォームド・コンセント」は誤りで、説明と同意のことで、医療過誤とは無関係。,1.0000000
1C 患者の権利,インフォームド・コンセントを示すのはどれか。,誓いと義務,個人と守秘,保護と権利,説明と同意,D,,123,インフォームド・コンセント（informed consent）は「説明と同意」と訳される。医療法第1条の4第2項に規定されており、医療の担い手は適切な説明を行い、患者の理解を得るよう努めなければならないとされる。「説明と同意」が正しい。「誓いと義務」「個人と守秘」「保護と権利」はインフォームド・コンセントの訳語ではない。,,インフォームド・コンセント（informed consent）は「説明と同意」と訳される。医療法第1条の4第2項に規定されており、医療の担い手は適切な説明を行い、患者の理解を得るよう努めなければならないとされる。「説明と同意」が正しい。「誓いと義務」「個人と守秘」「保護と権利」はインフォームド・コンセントの訳語ではない。,1.0000000
1C 患者の権利,小児疾患における｢説明と同意｣はどれか。,リスボン宣言,医療コンプライアンス,セカンドオピニオン,インフォームド・アセント,D,,123,「リスボン宣言」は誤りで、患者の権利に関する世界医師会の宣言である。「医療コンプライアンス」は誤りで、患者が治療方針に従うことである。「セカンドオピニオン」は誤りで、主治医以外の医師に意見を求めることである。「インフォームド・アセント」が正しく、インフォームド・アセント（informed assent）とは、小児など判断能力が不十分な患者に対して、その理解力に応じた説明を行い、賛意を得ることをいう。,,「リスボン宣言」は誤りで、患者の権利に関する世界医師会の宣言である。「医療コンプライアンス」は誤りで、患者が治療方針に従うことである。「セカンドオピニオン」は誤りで、主治医以外の医師に意見を求めることである。「インフォームド・アセント」が正しく、インフォームド・アセント（informed assent）とは、小児など判断能力が不十分な患者に対して、その理解力に応じた説明を行い、賛意を得ることをいう。,1.0000000
1C 患者の権利,患者の権利として誤っているのはどれか。,プライバシーの権利,黙秘権,知る権利,自己決定権,B,,123,患者の権利には、プライバシーの権利、知る権利、自己決定権などが含まれる。「黙秘権」は誤りで、黙秘権は刑事手続において被疑者・被告人に認められる権利であり、患者の権利ではない。「プライバシーの権利」は患者の権利として認められている。「知る権利」は患者の権利として認められている。「自己決定権」は患者の権利として認められている。,,患者の権利には、プライバシーの権利、知る権利、自己決定権などが含まれる。「黙秘権」は誤りで、黙秘権は刑事手続において被疑者・被告人に認められる権利であり、患者の権利ではない。「プライバシーの権利」は患者の権利として認められている。「知る権利」は患者の権利として認められている。「自己決定権」は患者の権利として認められている。,1.0000000
1C 患者の権利,個人情報保護法で正しいのはどれか。,罰則規定がない。,プライバシー保護が目的である。,接骨院は個人情報取扱事業者である。,利用目的を特定する必要はない。,C,,123,「罰則規定がない。」は誤りで、個人情報保護法には罰則規定がある（6か月以下の懲役又は30万円以下の罰金など）。「プライバシー保護が目的である。」は誤りで、目的はプライバシー保護ではなく、個人情報の有用性に配慮しつつ個人の権利利益を保護すること。「接骨院は個人情報取扱事業者である。」は正しく、接骨院（施術所）は個人情報データベースを事業に用いており、個人情報取扱事業者に該当する。「利用目的を特定する必要はない。」は誤りで、利用目的をできる限り特定する必要がある。,,「罰則規定がない。」は誤りで、個人情報保護法には罰則規定がある（6か月以下の懲役又は30万円以下の罰金など）。「プライバシー保護が目的である。」は誤りで、目的はプライバシー保護ではなく、個人情報の有用性に配慮しつつ個人の権利利益を保護すること。「接骨院は個人情報取扱事業者である。」は正しく、接骨院（施術所）は個人情報データベースを事業に用いており、個人情報取扱事業者に該当する。「利用目的を特定する必要はない。」は誤りで、利用目的をできる限り特定する必要がある。,1.0000000
